pc_rdata,pc_wdata,rs1_addr,rs1_rdata,rs2_addr,rs2_rdata,rd_addr,rd_wdata,insn,mode,mem_addr,mem_rdata,mem_wdata
80000000,80000004,sp,00000000,zero,00000000,sp,ffffffe0,fe010113,3,00000000,00000000,00000000
80000004,80000008,sp,ffffffe0,s0,00000000,zero,00000000,00812e23,3,fffffffc,00000000,00000000
80000008,8000000c,sp,ffffffe0,zero,00000000,s0,00000000,02010413,3,00000000,00000000,00000000
8000000c,80000010,s0,00000000,zero,00000000,zero,00000000,fe042623,3,ffffffec,00000000,00000000
80000010,80000014,zero,00000000,zero,00000000,a5,00000001,00100793,3,00000000,00000000,00000000
80000014,80000018,s0,00000000,a5,00000001,zero,00000000,fef42423,3,ffffffe8,00000000,00000001
80000018,8000001c,s0,00000000,zero,00000000,zero,00000000,fe042223,3,ffffffe4,00000000,00000000
8000001c,8000004c,zero,00000000,zero,00000000,zero,80000020,0300006f,3,00000000,00000000,00000000
8000004c,80000050,s0,00000000,zero,00000000,a4,00000000,fe442703,3,ffffffe4,00000000,00000000
80000050,80000054,zero,00000000,zero,00000000,a5,00000009,00900793,3,00000000,00000000,00000000
80000054,80000020,a5,00000009,a4,00000000,zero,00000000,fce7d6e3,3,00000000,00000000,00000000
80000020,80000024,s0,00000000,zero,00000000,a4,00000000,fec42703,3,ffffffec,00000000,00000000
80000024,80000028,s0,00000000,zero,00000000,a5,00000001,fe842783,3,ffffffe8,00000001,00000000
80000028,8000002c,a4,00000000,a5,00000001,a5,00000001,00f707b3,3,00000000,00000000,00000000
8000002c,80000030,s0,00000000,a5,00000001,zero,00000000,fef42023,3,ffffffe0,00000000,00000001
80000030,80000034,s0,00000000,zero,00000000,a5,00000001,fe842783,3,ffffffe8,00000001,00000000
80000034,80000038,s0,00000000,a5,00000001,zero,00000000,fef42623,3,ffffffec,00000000,00000001
80000038,8000003c,s0,00000000,zero,00000000,a5,00000001,fe042783,3,ffffffe0,00000001,00000000
8000003c,80000040,s0,00000000,a5,00000001,zero,00000000,fef42423,3,ffffffe8,00000000,00000001
80000040,80000044,s0,00000000,zero,00000000,a5,00000000,fe442783,3,ffffffe4,00000000,00000000
80000044,80000048,a5,00000000,zero,00000000,a5,00000001,00178793,3,00000000,00000000,00000000
80000048,8000004c,s0,00000000,a5,00000001,zero,00000000,fef42223,3,ffffffe4,00000000,00000001
8000004c,80000050,s0,00000000,zero,00000000,a4,00000001,fe442703,3,ffffffe4,00000001,00000000
80000050,80000054,zero,00000000,zero,00000000,a5,00000009,00900793,3,00000000,00000000,00000000
80000054,80000020,a5,00000009,a4,00000001,zero,00000000,fce7d6e3,3,00000000,00000000,00000000
80000020,80000024,s0,00000000,zero,00000000,a4,00000001,fec42703,3,ffffffec,00000001,00000000
80000024,80000028,s0,00000000,zero,00000000,a5,00000001,fe842783,3,ffffffe8,00000001,00000000
80000028,8000002c,a4,00000001,a5,00000001,a5,00000002,00f707b3,3,00000000,00000000,00000000
8000002c,80000030,s0,00000000,a5,00000002,zero,00000000,fef42023,3,ffffffe0,00000000,00000002
80000030,80000034,s0,00000000,zero,00000000,a5,00000001,fe842783,3,ffffffe8,00000001,00000000
80000034,80000038,s0,00000000,a5,00000001,zero,00000000,fef42623,3,ffffffec,00000000,00000001
80000038,8000003c,s0,00000000,zero,00000000,a5,00000002,fe042783,3,ffffffe0,00000002,00000000
8000003c,80000040,s0,00000000,a5,00000002,zero,00000000,fef42423,3,ffffffe8,00000000,00000002
80000040,80000044,s0,00000000,zero,00000000,a5,00000001,fe442783,3,ffffffe4,00000001,00000000
80000044,80000048,a5,00000001,zero,00000000,a5,00000002,00178793,3,00000000,00000000,00000000
80000048,8000004c,s0,00000000,a5,00000002,zero,00000000,fef42223,3,ffffffe4,00000000,00000002
8000004c,80000050,s0,00000000,zero,00000000,a4,00000002,fe442703,3,ffffffe4,00000002,00000000
80000050,80000054,zero,00000000,zero,00000000,a5,00000009,00900793,3,00000000,00000000,00000000
80000054,80000020,a5,00000009,a4,00000002,zero,00000000,fce7d6e3,3,00000000,00000000,00000000
80000020,80000024,s0,00000000,zero,00000000,a4,00000001,fec42703,3,ffffffec,00000001,00000000
80000024,80000028,s0,00000000,zero,00000000,a5,00000002,fe842783,3,ffffffe8,00000002,00000000
80000028,8000002c,a4,00000001,a5,00000002,a5,00000003,00f707b3,3,00000000,00000000,00000000
8000002c,80000030,s0,00000000,a5,00000003,zero,00000000,fef42023,3,ffffffe0,00000000,00000003
80000030,80000034,s0,00000000,zero,00000000,a5,00000002,fe842783,3,ffffffe8,00000002,00000000
80000034,80000038,s0,00000000,a5,00000002,zero,00000000,fef42623,3,ffffffec,00000000,00000002
80000038,8000003c,s0,00000000,zero,00000000,a5,00000003,fe042783,3,ffffffe0,00000003,00000000
8000003c,80000040,s0,00000000,a5,00000003,zero,00000000,fef42423,3,ffffffe8,00000000,00000003
80000040,80000044,s0,00000000,zero,00000000,a5,00000002,fe442783,3,ffffffe4,00000002,00000000
80000044,80000048,a5,00000002,zero,00000000,a5,00000003,00178793,3,00000000,00000000,00000000
80000048,8000004c,s0,00000000,a5,00000003,zero,00000000,fef42223,3,ffffffe4,00000000,00000003
80000050,80000054,zero,00000000,zero,00000000,a5,00000009,00900793,3,00000000,00000000,00000000
80000054,80000020,a5,00000009,a4,00000003,zero,00000000,fce7d6e3,3,00000000,00000000,00000000
